"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"SRFBP1"	0	0	0.084	0	0	0	-0.553154059862681	0	0.928479661682406	0	0	0.00158143990070015	0.296866612350489	0.289332353112689	0.205836552092933	0.460246157195562
"ERVV-2"	0	0	0	0	0	0	-1.78467306367901	0	1	0	0	0.00181984611581033	0.29686385565417	0.288285800226475	0.215805806093276	0.460246157195562
"RGAG4"	0	0	0	0	0	0	-1.78478884027104	0	0.939053385713722	0	0	0.0018199002341507	0.296862365732509	0.288283938440833	0.215803238650334	0.460246157195562
"HIST1H2AI"	0	0	0.112	0	0	0	-0.374288494578516	0	0.922051352583058	0	0	0.00172470111160385	0.296853866000167	0.289459841628254	0.199045100474752	0.460246157195562
"TCEAL3"	0	0	0.1	0	0	0	-0.444982297900377	0	0.919881187800641	0	0	0.00165829821022143	0.296842946322739	0.288727031182893	0.201822457319567	0.460246157195562
"OR2L2"	0	0	0.074	0	0	0	-5.56259784310977	1	0.803009767854238	0	0	0.0101821156817452	0.296803262822653	0.286002632457955	0.105180528349486	0.836876516168188
"KRTAP19-2"	0	0	0.066	0	0	0	-0.707314728995685	0	0.902064691312589	0	0	0.00151909757053605	0.296771059943296	0.288687101538527	0.210580874639033	0.460246157195562
"FAM181A"	0	0	0	0	0	0	-1.79194214000063	0	0.939266697444713	0	0	0.00182324780865015	0.296770325869267	0.288168922025241	0.215644651176715	0.460246157195562
"CLEC4D"	0	0	0.043	0	0	0	-0.959887134803124	0	0.917541273820612	0	0	0.00148921482618732	0.296769103625513	0.288672235254297	0.217801701204588	0.460246157195562
"SLC25A52"	0	0	0	0	0	0	-1.79233597888206	0	0.925457662278862	0	0	0.00182343233599735	0.296765259321024	0.288162590412431	0.215635922288471	0.460246157195562
"PEX12"	0	0	0.215	0	0	0	-0.00613452118638373	0	0.719083439612378	0	0	0.00251157357902132	0.296715631098678	0.297284540528342	0.155232768107798	0.460246157195562
"RMI2"	0	0	0	0	0	0	-1.79681906065196	0	0.90161922484113	0	0	0.00182553443463553	0.296707593144033	0.288090523625769	0.215536579104392	0.460246157195562
"RBM11"	0	0	0.114	0	0	0	-0.368623421666176	0	0.945272792318211	0	0	0.00173950581425844	0.296702435305715	0.289350431773841	0.198327102469873	0.460246157195562
"DDAH1"	0	0	0.418	1	0	1	0.508402206481421	0	0.885613523028542	0	0	0.0511611091367885	0.296681290863399	0.272437021652958	6.74588536572689e-26	0.999538010502228
"C14orf28"	0	0	0.486	1	0	0	-0.606609036294085	0	0.69316918461487	0	0	0.0387652865763639	0.296643640150378	0.270147177439799	4.09302408800746e-07	1
"NOP10"	0	0	0	0	0	0	-1.80315224016205	0	0.905318562511641	0	0	0.00182850909936915	0.296626149465302	0.287988735380353	0.215396295114909	0.460246157195562
"SLC22A5"	0	0	0.143	0	0	0	-0.234154762513325	0	0.933306180409608	0	0	0.00193086163997338	0.296613838568427	0.291556160816469	0.191940233226533	0.460246157195562
"LEFTY2"	0	0	0.486	0	0	0	0.311690961947682	0	0.934981021438363	0	0	0.0056212385975048	0.296607364082338	0.316660966253839	0.0636105726527706	0.460246157195562
"SLC5A2"	0	0	0.235	0	0	0	0.0354796339120776	0	0.929897763274088	0	0	0.00269986002274505	0.296606286643322	0.298410517267752	0.145127889493703	0.460246157195562
"HLX"	0	0	0.2	0	0	0	-0.0463100155424178	0	0.933205737745876	0	0	0.00238227004732518	0.296599318983177	0.29586831176217	0.162967048574045	0.460246157195562
"OR7E24"	0	0	0.131	0	0	0	-4.13231410635325	1	0.896417008076041	0	0	0.00787536502355447	0.296566058740383	0.28856532665142	0.114054727918442	0.671567152152064
"GPHA2"	0	0	0.235	0	0	0	0.0344090327469816	0	0.931693172725023	0	0	0.0027013608223118	0.296558565480472	0.298374819390684	0.145043048974797	0.460246157195562
"MS4A1"	0	0	0.164	0	0	0	-0.156255073300086	0	0.849157647067387	0	0	0.00208775250307879	0.296556153118494	0.292979126429006	0.184093749777596	0.460246157195562
"C21orf59"	0	0	0.135	0	0	0	-0.270798953110607	0	0.939687377579842	0	0	0.0018770565178163	0.296539981454349	0.29057774138804	0.193470561172533	0.460246157195562
"SLC27A4"	0	0	0.108	1	0	1	1.36672091396635	0	0.946232923250328	0	0	0.0469614247852774	0.296538894732872	0.26912452801662	1.26860504626878e-26	0.97638387365743
"CYP3A7-CYP3AP1"	0	0	0	0	0	0	-1.81044180458134	0	0.932917438291993	0	0	0.0018319403022784	0.29653243644956	0.287930716714023	0.215234908599709	0.460246157195562
"MPG"	0	0	0.103	1	0	0	-1.49570849229321	0	0.92206085021219	0	0	0.0380186975292958	0.296531240041937	0.248989664086588	8.1621728880939e-10	0.999998637662014
"ARL16"	0	0	0.073	0	0	0	-0.655631218466761	0	0.896214372307342	0	0	0.00154492921528024	0.296519094064236	0.288225110658316	0.208187046233847	0.460246157195562
"C2orf54"	0	0	0.09	0	0	0	-0.523765425213509	0	0.946183662978084	0	0	0.00161459283573873	0.296511622282366	0.288593442000351	0.203702092358529	0.460246157195562
"PUS7L"	0	0	0.194	0	0	0	-0.0651272470587287	0	0.860234795418961	0	0	0.00233364278788666	0.296493401005877	0.295278954379359	0.166087307034692	0.460246157195562
"C19orf25"	0	0	0	0	0	0	-1.81496719131149	0	0.910925365148756	0	0	0.00183407434496567	0.296474275038281	0.287903191316542	0.215134763453172	0.460246157195562
"PPL"	0	0	0.172	0	0	0	-0.131696523345143	0	0.946055321824151	0	0	0.00215268053196049	0.296471143130322	0.293495836036705	0.1789344136023	0.460246157195562
"NHEJ1"	0	0	0.069	0	0	0	-0.693779108348939	0	0.894509735270393	0	0	0.00153306952138782	0.296453531354951	0.288364638111427	0.209196437884078	0.460246157195562
"KRT33A"	0	0	0.084	0	0	0	-0.570333669814757	0	0.941074318040512	0	0	0.00158889825338109	0.296439232590141	0.288673499211554	0.205110072448532	0.460246157195562
"RPL12"	0	0	0	1	0	1	1.84513047288772	0	0.399002548693912	0	0	0.0497685612711162	0.29643730642734	0.254618457519974	4.3941726976324e-26	0.980473328301866
"SPATA6"	0	0	0.211	0	0	0	-0.0238618511779118	0	0.94716596508135	0	0	0.00248570991155142	0.296376210567383	0.296632099778104	0.156692156008176	0.460246157195562
